Time,bits/s,MBytes/s
1572203484.2898207,425164543.0493047,53.14556788116309
1572203484.3905838,430785153.85989195,53.8481442324865
1572203484.491325,423731442.90673286,52.966430363341615
1572203484.5915856,425519324.0707308,53.18991550884135
1572203484.692316,420700800.7495302,52.587600093691265
1572203484.793086,421900738.47665733,52.73759230958217
1572203484.893399,425793566.583002,53.22419582287525
1572203484.9941406,430924953.53662723,53.865619192078405
1572203485.094877,428071131.4145494,53.50889142681867
1572203485.195613,438217147.7994968,54.7771434749371
1572203485.2963493,432346607.67853755,54.043325959817196
1572203485.3970804,430223448.3094176,53.7779310386772
1572203485.4978583,425584092.61242557,53.1980115765532
1572203485.5985937,426006398.40134436,53.25079980016804
1572203485.6993299,425030376.26723593,53.12879703340449
1572203485.8000653,425267671.1929281,53.158458899116006
1572203485.900796,425168037.5167138,53.146004689589226
1572203486.0015266,420295161.554177,52.53689519427212
1572203486.1022573,429027994.4489,53.628499306112495
1572203486.2029877,428130056.0454823,53.51625700568529
1572203486.3034546,426639734.81225187,53.32996685153148
1572203486.4041893,424433878.90544176,53.05423486318021
1572203486.50492,425534241.8172428,53.191780227155355
1572203486.605655,426482292.1810406,53.31028652263007
1572203486.7063916,426921935.99424404,53.36524199928051
1572203486.8071222,426981110.1640304,53.3726387705038
1572203486.907853,430607890.8163742,53.82598635204677
1572203487.0085833,416973386.4973609,52.12167331217012
1572203487.1093135,417650556.07753026,52.20631950969129
1572203487.2100496,422380840.5910849,52.79760507388561
1572203487.3107805,418753825.0591532,52.34422813239416
1572203487.4115162,423992676.95409405,52.99908461926176
1572203487.5122466,429959096.384422,53.744887048052746
1572203487.612982,428374185.0836633,53.54677313545791
1572203487.7132623,428760090.28862166,53.59501128607771
1572203487.8138113,428841415.1623705,53.60517689529632
1572203487.914561,432976322.01477134,54.122040251846414
1572203488.015292,437742001.23971826,54.71775015496478
1572203488.1160223,420493753.0654826,52.56171913318533
1572203488.2167575,426462461.1631899,53.30780764539873
1572203488.3174942,420718035.047922,52.58975438099025
1572203488.4192336,424255197.16044486,53.03189964505561
1572203488.521964,416140193.94916815,52.017524243646015
1572203488.8490467,6534474.8319744365,0.8168093539968044
1572203488.9507911,564567843.0304044,70.57098037880056
1572203489.051093,429124685.1035876,53.640585637948455
1572203489.1514275,428339367.8858455,53.54242098573068
1572203489.2521582,430632749.1868069,53.82909364835087
1572203489.352893,427975319.1922805,53.496914899035055
