Time,bits/s,MBytes/s,MBits/s
1575051912.1357431,313751763.8597122,39.21897048246402,313.7517638597122
1575051912.2371082,302602299.74704653,37.82528746838082,302.6022997470466
1575051912.3389971,306136983.77467823,38.26712297183477,306.1369837746782
1575051912.4411926,306703881.6159045,38.33798520198806,306.7038816159045
1575051912.5433238,306432596.3139626,38.30407453924532,306.43259631396256
1575051912.6452353,306603859.0008075,38.32548237510094,306.6038590008075
1575051912.7471576,307394900.71016484,38.424362588770606,307.39490071016485
1575051912.8491402,307000026.11823547,38.37500326477944,307.0000261182355
1575051912.9512084,306615949.07326466,38.326993634158086,306.6159490732647
1575051913.053165,306516329.848429,38.31454123105363,306.51632984842905
1575051913.1552339,307075936.72685456,38.384492090856824,307.0759367268546
1575051913.2573051,306490209.55227256,38.31127619403407,306.4902095522726
1575051913.3573866,316653259.80968815,39.58165747621102,316.65325980968817
1575051913.4582806,301098621.4571781,37.637327682147266,301.0986214571781
1575051913.560191,306982399.6368344,38.3727999546043,306.9823996368344
1575051913.6622093,306667961.9041989,38.33349523802486,306.6679619041989
1575051913.7642682,306871044.61187404,38.35888057648425,306.871044611874
1575051913.8661773,307216350.8613379,38.402043857667245,307.21635086133796
1575051913.9680643,306732373.43883854,38.34154667985482,306.7323734388386
1575051914.0701177,306878935.24547213,38.359866905684015,306.8789352454721
1575051914.1722069,306661418.6645729,38.332677333071615,306.6614186645729
1575051914.2742157,306693781.80327845,38.33672272540981,306.69378180327845
1575051914.376324,306741266.06884307,38.34265825860538,306.74126606884306
1575051914.4782863,306604911.94047534,38.32561399255942,306.60491194047535
1575051914.5802007,306978806.526642,38.37235081583025,306.978806526642
1575051914.6822062,307131790.30923146,38.39147378865393,307.13179030923146
1575051914.7841046,306885183.5921658,38.36064794902073,306.88518359216584
1575051914.8861756,306965960.5495789,38.37074506869737,306.96596054957894
1575051914.9881015,307050136.4503875,38.38126705629844,307.0501364503875
1575051915.0900197,307068823.3025526,38.38360291281907,307.0688233025526
1575051915.1919682,306981158.5404493,38.37264481755617,306.98115854044937
1575051915.293796,306940302.2460748,38.36753778075935,306.9403022460748
1575051915.3959017,306410001.8217513,38.30125022771891,306.4100018217513
1575051915.4979374,306816999.1974638,38.35212489968298,306.8169991974638
1575051915.5999973,306877500.5546356,38.35968756932945,306.8775005546356
1575051915.7018533,306938145.36283445,38.36726817035431,306.93814536283446
1575051915.8038163,307144584.050273,38.393073006284126,307.144584050273
1575051915.9057062,306941232.2680928,38.3676540335116,306.9412322680928
1575051916.0076413,307336632.52294666,38.417079065368334,307.3366325229467
1575051916.1096554,306934181.04473263,38.366772630591576,306.9341810447326
1575051916.2114801,307099428.64134043,38.38742858016755,307.0994286413404
1575051916.3135016,307132648.56459826,38.39158107057479,307.1326485645983
1575051916.4153774,306888057.38529325,38.36100717316165,306.8880573852932
1575051916.517249,307094546.9418694,38.38681836773367,307.09454694186934
1575051916.6192331,306418815.25533175,38.30235190691647,306.41881525533177
1575051916.7214015,306920702.5041751,38.36508781302189,306.9207025041751
1575051916.8232045,306732515.27766544,38.34156440970818,306.7325152776654
1575051916.9251544,307073298.0429841,38.38416225537302,307.07329804298416
1575051917.0271513,307318076.8670366,38.414759608379576,307.3180768670366
1575051917.1289835,306969782.688712,38.371222836089004,306.96978268871203
1575051917.2308524,306893576.5616323,38.36169707020404,306.8935765616323
1575051917.3328352,307211538.48808044,38.40144231101006,307.21153848808046
1575051917.4347687,306923483.24942017,38.36543540617752,306.92348324942014
1575051917.536716,307211427.5805332,38.40142844756665,307.2114275805332
1575051917.6386101,307159414.8929146,38.39492686161432,307.1594148929146
1575051917.7405026,306702209.54046434,38.337776192558046,306.70220954046437
1575051917.8426895,306592602.8467296,38.324075355841195,306.59260284672956
1575051917.9447417,306789743.2795246,38.348717909940575,306.7897432795246
1575051918.0466406,307008991.2667135,38.37612390833918,307.00899126671345
1575051918.1486304,307007394.4260214,38.375924303252674,307.0073944260214
1575051918.2504454,307046026.6713655,38.38075333392069,307.0460266713655
1575051918.3525023,307367056.5565695,38.42088206957119,307.36705655656954
1575051918.4542146,306684882.8341262,38.33561035426577,306.68488283412614
1575051918.556024,307605172.1056267,38.45064651320334,307.6051721056267
1575051918.657952,307266793.16913515,38.408349146141894,307.26679316913516
1575051918.7599185,306956223.3404346,38.36952791755432,306.9562233404346
1575051918.8617942,307083040.88325834,38.38538011040729,307.0830408832583
1575051918.9636722,307086636.4339534,38.385829554244175,307.0866364339534
1575051919.0657852,306610548.68727046,38.32631858590881,306.61054868727047
1575051919.165924,316675474.43779564,39.584434304724454,316.67547443779563
1575051919.2667954,301097197.6210715,37.63714970263394,301.09719762107153
1575051919.3686173,307244204.20573884,38.40552552571735,307.2442042057388
1575051919.4706469,307456870.7190859,38.432108839885736,307.4568707190859
1575051919.5724397,306513419.3229581,38.31417741536976,306.5134193229581
1575051919.6743784,306813614.3338605,38.351701791732566,306.8136143338605
1575051919.7763066,306909835.1182696,38.3637293897837,306.9098351182696
1575051919.878212,307463268.1007162,38.43290851258952,307.46326810071616
1575051919.978327,315625876.3047315,39.453234538091436,315.6258763047315
1575051920.0794635,301452688.5488748,37.68158606860935,301.4526885488748
1575051920.181595,306238984.5489965,38.27987306862457,306.23898454899654
1575051920.283578,307247572.1817497,38.405946522718715,307.2475721817497
1575051920.3853035,306641007.5152175,38.33012593940218,306.64100751521744
1575051920.4872315,307162420.8348317,38.395302604353965,307.1624208348317
1575051920.5891852,307192018.39730436,38.399002299663046,307.19201839730437
1575051920.691016,307004303.574238,38.37553794677975,307.004303574238
1575051920.7929387,307328002.0775749,38.41600025969686,307.32800207757487
1575051920.8949425,306926789.15252906,38.36584864406613,306.92678915252907
1575051920.9968328,306661282.30911463,38.33266028863933,306.66128230911465
